timestamp, name, pci.bus_id, driver_version, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/04/13 04:34:23.861, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:34:23.862, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:39:23.863, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:39:23.864, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:44:23.865, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:44:23.866, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:49:23.867, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:49:23.868, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:54:23.869, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 31, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:54:23.870, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:59:23.871, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:59:23.871, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:04:23.872, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:04:23.873, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:09:23.874, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:09:23.875, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:14:23.876, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:14:23.877, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:19:23.878, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 31, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:19:23.879, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:24:23.880, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:24:23.881, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:29:23.882, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:29:23.882, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:34:23.883, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:34:23.884, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:39:23.885, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:39:23.886, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:44:23.887, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
